"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename","entrez"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982933,-40.377562525271,0,0,"CNN3","calponin 3","1266"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757464,44.2153974843485,0,0,"TENT5C","terminal nucleotidyltransferase 5C","54855"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106258,-40.2016026751279,0,0,"CSRP1","cysteine and glycine rich protein 1","1465"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112126,-38.2511822462081,0,0,"CRIM1","cysteine rich transmembrane BMP regulator 1","51232"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758799,-43.7365579185532,0,0,"EPAS1","endothelial PAS domain protein 1","2034"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.043935437053321,-37.5503720316732,0,0,"FLNB","filamin B","2317"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655225,48.4207795565312,0,0,"F2RL1","F2R like trypsin receptor 1","2150"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.061708615181299,38.7674871448897,0,0,"SOX4","SRY-box transcription factor 4","6659"
"ENSG00000124762",28106.1191885778,1.83225777686375,0.0388966414279791,47.1058093860456,0,0,"CDKN1A","cyclin dependent kinase inhibitor 1A","1026"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996608976,-43.9933323216791,0,0,"SERPINE1","serpin family E member 1","5054"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.055268128792191,41.001577439559,0,0,"COL4A5","collagen type IV alpha 5 chain","1287"
"ENSG00000122861",28007.1433373973,2.26252546550258,0.0552183311595172,40.9741732137194,0,0,"PLAU","plasminogen activator, urokinase","5328"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652669,-42.1726838115322,0,0,"MKI67","marker of proliferation Ki-67","4288"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135827,38.2834110933141,0,0,"SLC2A3","solute carrier family 2 member 3","6515"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461303,-38.3261828997379,0,0,"TUBA1B","tubulin alpha 1b","10376"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178526,44.0060249686232,0,0,"PHLDA1","pleckstrin homology like domain family A member 1","22822"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.043595384440606,44.7421102013885,0,0,"ABCC4","ATP binding cassette subfamily C member 4 (PEL blood group)","10257"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931705,38.5901202167623,0,0,"DIO2","iodothyronine deiodinase 2","1734"
"ENSG00000128917",1307.34250385583,3.85825311457409,0.0865185432075092,44.5945224172385,0,0,"DLL4","delta like canonical Notch ligand 4","54567"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678229,-41.3963130507177,0,0,"SEMA7A","semaphorin 7A (JohnMiltonHagen blood group)","8482"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544483,-42.0008730342142,0,0,"TOP2A","DNA topoisomerase II alpha","7153"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638688,-52.9712609892404,0,0,"AXL","AXL receptor tyrosine kinase","558"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.067097551800101,37.7738135764855,0,0,"SLC5A3","solute carrier family 5 member 3","6526"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275896002,-37.3387475440744,3.86082291079997e-305,2.37344088441428e-302,"ENO1","enolase 1","2023"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294257,37.2705374042592,4.92673245663794e-304,2.90756042660945e-301,"F2R","coagulation factor II thrombin receptor","2149"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075156,36.9471519148983,8.09231108193889e-299,4.5920752962664e-296,"RND3","Rho family GTPase 3","390"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246606,36.8352639561659,5.03520683627244e-297,2.75146080230976e-294,"PLAT","plasminogen activator, tissue type","5327"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225735,36.6909753183984,1.01726618392663e-294,5.36026617059054e-292,"DGKI","diacylglycerol kinase iota","9162"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898302,-36.4661327225834,3.81873143605109e-291,1.94281253818958e-288,"MGLL","monoglyceride lipase","11343"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406067,36.4540313413099,5.9385621797416e-291,2.92058487999692e-288,"BMF","Bcl2 modifying factor","90427"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307406,-36.2808238848651,3.24649821943176e-288,1.54512370095149e-285,"GPR176","G protein-coupled receptor 176","11245"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.069401356994198,36.270702943229,4.68797353266864e-288,2.16144879690603e-285,"PGM2L1","phosphoglucomutase 2 like 1","283209"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758679,-36.2228494299767,2.65984835163356e-287,1.1891940175758e-284,"CDV3","CDV3 homolog","55573"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.053535184702731,36.1446992488214,4.50689778355174e-286,1.95572852642713e-283,"SLC4A7","solute carrier family 4 member 7","9497"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729395,-36.1399178936196,5.35778353379665e-286,2.2147049501208e-283,"CENPF","centromere protein F","1063"
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522551,36.1396808426014,5.40391610440213e-286,2.2147049501208e-283,"MXRA5","matrix remodeling associated 5","25878"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517446,-35.7887108200628,1.65485249277908e-280,6.59883612931419e-278,"TGM2","transglutaminase 2","7052"
"ENSG00000164938",1395.92210584831,2.31778202055933,0.0656155292094681,35.3236809713161,2.54305707416959e-273,9.87375370323637e-271,"TP53INP1","tumor protein p53 inducible nuclear protein 1","94241"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274794,-35.2491412924509,3.53646850218314e-272,1.33787323797975e-269,"FERMT2","FERM domain containing kindlin 2","10979"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896457,-35.1930555341797,2.5536798156345e-271,9.41924799996787e-269,"PARP1","poly(ADP-ribose) polymerase 1","142"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353569988,35.1779683944861,4.3440722585592e-271,1.56323029518982e-268,"MME","membrane metalloendopeptidase","4311"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695776,35.1424932628331,1.51368681108393e-270,5.31736552636482e-268,"VWA5A","von Willebrand factor A domain containing 5A","4013"
"ENSG00000088325",1049.74978195443,-3.01204014087113,0.086113672349893,-34.9774903180618,4.94847109857863e-268,1.69790099042858e-265,"TPX2","TPX2 microtubule nucleation factor","22974"
